escenario,paso,proceso,etiqueta,detalle,n
8a,1,q,q1,1 >= 0 → verdadero,1
8a,2,q,q2,n = 1 - 1,0
8a,3,p,p1,0 < 1 → verdadero,0
8a,4,p,p2,n = 0 + 1,1
8a,5,p,p1,1 < 1 → falso,1
8a,6,q,q1,1 >= 0 → verdadero,1
8a,7,q,q2,n = 1 - 1,0
8a,8,q,q1,0 >= 0 → verdadero,0
8a,9,q,q2,n = 0 - 1,-1
8a,10,q,q1,-1 >= 0 → falso,-1
8b,1,q,q1,1 >= 0 → verdadero,1
8b,2,q,q2,n = 1 - 1,0
8b,3,p,p1,0 < 1 → verdadero,0
8b,4,p,p2,n = 0 + 1,1
8b,5,q,q1,1 >= 0 → verdadero,1
8b,6,q,q2,n = 1 - 1,0
8b,7,p,p1,0 < 1 → verdadero,0
8b,8,p,p2,n = 0 + 1,1
8b,9,q,q1,1 >= 0 → verdadero,1
8b,10,q,q2,n = 1 - 1,0
8b,11,p,p1,0 < 1 → verdadero,0
8b,12,p,p2,n = 0 + 1,1
8b,13,p,p1,1 < 1 → falso,1
8b,14,q,q1,1 >= 0 → verdadero,1
8b,15,q,q2,n = 1 - 1,0
8b,16,q,q1,0 >= 0 → verdadero,0
8b,17,q,q2,n = 0 - 1,-1
8b,18,q,q1,-1 >= 0 → falso,-1
8c,1,q,q1,1 >= 0 → verdadero,1
8c,2,q,q2,n = 1 - 1,0
8c,3,p,p1,0 < 1 → verdadero,0
8c,4,p,p2,n = 0 + 1,1
8c,5,q,q1,1 >= 0 → verdadero,1
8c,6,q,q2,n = 1 - 1,0
8c,7,p,p1,0 < 1 → verdadero,0
8c,8,p,p2,n = 0 + 1,1
8c,9,q,q1,1 >= 0 → verdadero,1
8c,10,q,q2,n = 1 - 1,0
8c,11,p,p1,0 < 1 → verdadero,0
8c,12,p,p2,n = 0 + 1,1
